Année;DOM-00;IDF-11;CVL-24;BFC-27;NO-28;HF-32;GE-44;PL-52;BR-53;NA-75;OC-76;ARA-84;PACA-93;CO-94
2000;0;607193;2475818;2603591;2192849;2231604;3121703;2322621;1777248;4370142;3682312;3217728;918260;286268
2001;0;605337;2471025;2599414;2183860;2227685;3117691;2317040;1771048;4355398;3666469;3200264;909730;288350
2002;0;603486;2466631;2596090;2176193;2220657;3112500;2310970;1763947;4333534;3650159;3185095;901260;290115
2003;0;601640;2461461;2593648;2166032;2217926;3107625;2304568;1757033;4323818;3637551;3176538;892870;293862
2004;0;599801;2459512;2590949;2159602;2214977;3103615;2297358;1748719;4316921;3622317;3163004;884555;296967
2005;0;597967;2456781;2587738;2154824;2213081;3097854;2289179;1739115;4309736;3609354;3155859;876320;302642
2006;0;596138;2449004;2582132;2149665;2211094;3095756;2280546;1728473;4301594;3595683;3149818;868161;304592
2007;169818;594315;2437101;2576024;2143612;2206361;3091298;2270911;1720620;4278732;3577589;3147635;860077;301820
2008;169955;592498;2430704;2573283;2134010;2203392;3081375;2260698;1715131;4265618;3562789;3132599;852071;305825
2009;169729;590686;2428792;2572706;2130292;2195464;3077731;2252620;1710647;4242388;3540413;3124551;844137;309492
2010;169453;588880;2415134;2569701;2116840;2192237;3077358;2247111;1703302;4230413;3522568;3112299;836279;314145
2011;167744;587079;2419722;2570313;2112183;2187525;3073104;2243501;1709853;4223675;3511072;3098062;828493;314007
2012;168238;585284;2422468;2570560;2109990;2187884;3068065;2238106;1709504;4218377;3506101;3094552;820779;313164
2013;170174;583264;2397951;2569843;2099730;2186537;3066339;2232837;1707907;4206889;3504629;3093982;811449;312302
2014;164511;582928;2394150;2569480;2091847;2182442;3066388;2230268;1702778;4203933;3499889;3101458;804449;299615
2015;163607;582113;2393312;2569431;2087970;2180407;3060568;2228766;1703641;4206446;3498807;3117914;797562;299974
2016;183558;581476;2390522;2560770;2083950;2180104;3062088;2227024;1699865;4229119;3497519;3114278;790173;301133
2017;182526;580476;2391251;2562734;2081760;2179692;3061901;2222748;1699729;4220777;3497389;3111336;783189;304517
